,nCount_RNA,nCount_RNA,nCount_RNA,nCount_RNA,nCount_RNA,nCount_RNA,nCount_RNA,nCount_RNA,nFeature_RNA,nFeature_RNA,nFeature_RNA,nFeature_RNA,nFeature_RNA,nFeature_RNA,nFeature_RNA,nFeature_RNA,percent.mt,percent.mt,percent.mt,percent.mt,percent.mt,percent.mt,percent.mt,percent.mt,nCount_SCT,nCount_SCT,nCount_SCT,nCount_SCT,nCount_SCT,nCount_SCT,nCount_SCT,nCount_SCT,nFeature_SCT,nFeature_SCT,nFeature_SCT,nFeature_SCT,nFeature_SCT,nFeature_SCT,nFeature_SCT,nFeature_SCT,nCount_Exon,nCount_Exon,nCount_Exon,nCount_Exon,nCount_Exon,nCount_Exon,nCount_Exon,nCount_Exon,nFeature_Exon,nFeature_Exon,nFeature_Exon,nFeature_Exon,nFeature_Exon,nFeature_Exon,nFeature_Exon,nFeature_Exon
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,1608.0,1929.0932835820895,1037.4191908183484,603.0,1157.0,1634.0,2389.5,6980.0,1608.0,1163.4042288557214,473.55838896652955,453.0,801.75,1057.5,1439.5,3290.0,1608.0,4.880298503826814,4.7285151545648025,0.03734129947722181,1.933360639370253,3.4535068630733177,6.008439357416897,39.079379990605915,1608.0,2483.63184079602,385.8395287036273,1809.0,2245.0,2360.0,2555.25,3885.0,1608.0,1183.0541044776119,427.59145885930394,573.0,842.0,1059.0,1439.5,2861.0,1608.0,952.5528606965174,563.8165182724025,228.0,557.75,803.0,1173.0,4776.0,1608.0,617.7531094527363,300.80256161324195,192.0,398.75,552.0,755.0,2338.0
61.0,2429.0,3470.016055990119,1836.735403730504,601.0,2146.0,3110.0,4414.0,12374.0,2429.0,2043.364347468094,792.3479514549347,470.0,1456.0,1956.0,2542.0,4957.0,2429.0,5.147056822711011,2.520332619819009,0.40826741515692777,3.284072249589491,4.850245864997764,6.568877551020408,30.71965628356606,2429.0,3256.8032111980237,647.1049563402846,2019.0,2657.0,3121.0,3906.0,4470.0,2429.0,1987.5076163030053,645.622730784952,779.0,1456.0,1955.0,2518.0,3295.0,2429.0,2345.149444215727,1360.9586916734147,328.0,1343.0,2026.0,3026.0,8743.0,2429.0,1502.6154796212434,662.4084838901447,286.0,1001.0,1405.0,1917.0,3956.0
62.0,2183.0,2391.5038937242325,1341.9470029800034,602.0,1354.5,2096.0,3097.0,10180.0,2183.0,1346.0476408612,555.2259682532873,448.0,907.5,1265.0,1684.0,4199.0,2183.0,2.6193775820877985,2.5599333212602193,0.0,0.9673874512584191,1.9159127195316656,3.3849543967586793,23.565323565323563,2183.0,2630.761795693999,463.90126844232907,1822.0,2290.0,2466.0,3011.5,3778.0,2183.0,1341.8634906092534,476.7597656216207,628.0,925.0,1264.0,1677.5,2752.0,2183.0,1039.6440677966102,633.743351364752,201.0,583.5,894.0,1326.5,7655.0,2183.0,654.641777370591,322.5321773713737,158.0,421.0,591.0,820.5,3258.0
66.0,1899.0,7676.269615587151,3129.0985799514488,687.0,5553.0,7312.0,9515.5,22187.0,1899.0,3289.0816219062663,837.20506164987,526.0,2786.5,3287.0,3841.5,5892.0,1899.0,2.641956481741089,2.2238679495881333,0.02625705658395694,1.1977778414810611,2.1211189671072854,3.272814536046586,27.126436781609197,1899.0,7054.457609268035,749.4146902375965,5380.0,6276.0,7228.0,7822.0,8274.0,1899.0,3248.397577672459,644.8526019198263,1687.0,2786.5,3285.0,3777.0,4683.0,1899.0,2886.3133228014744,1303.7671317016104,203.0,2008.5,2631.0,3532.0,10681.0,1899.0,1779.9378620326488,595.3296855465911,157.0,1394.0,1732.0,2123.0,4210.0
67.0,1769.0,3800.4776710005654,2162.1484229372313,629.0,2360.0,3313.0,4717.0,17797.0,1769.0,1991.3708309779536,772.8692745697854,480.0,1479.0,1892.0,2424.0,5623.0,1769.0,3.065547249642795,4.2474137880500145,0.0,0.9427609427609427,1.6946854663774404,3.136588380716934,37.51651254953765,1769.0,3306.7009609949123,569.2656144751205,2135.0,2776.0,3284.0,3862.0,4370.0,1769.0,1885.296212549463,556.537539838259,747.0,1478.0,1874.0,2334.0,3140.0,1769.0,1985.8937252685132,1446.7027450691783,254.0,1096.0,1547.0,2489.0,12723.0,1769.0,1168.103448275862,605.0838411246319,195.0,765.0,1033.0,1438.0,4280.0
68.0,960.0,7000.101041666667,3006.286734898807,628.0,5065.5,6693.0,8480.5,22291.0,960.0,3005.0760416666667,809.1647616655913,489.0,2539.75,3027.5,3506.0,6021.0,960.0,2.705264413738915,2.0677862199537107,0.12558869701726844,1.464085485548178,2.241481495340886,3.344577298174794,28.53107344632768,960.0,6908.904166666666,721.385578198712,5417.0,6225.75,6751.5,7661.0,8170.0,960.0,3003.59375,617.0100155536659,1688.0,2538.5,3026.0,3499.0,4353.0,960.0,2144.3885416666667,917.4159339722135,247.0,1551.5,2045.0,2627.25,8668.0,960.0,1404.3916666666667,479.7454233807544,209.0,1104.5,1390.5,1697.0,3583.0
71.0,1254.0,6490.2041467304625,3894.902399970766,660.0,3689.0,5671.0,8426.0,25162.0,1254.0,2566.0215311004786,964.8228326996267,528.0,1873.25,2472.5,3178.25,5873.0,1254.0,3.516916829804833,3.309408831451914,0.021172983273343216,1.3138075555099675,2.4901813039769056,4.504276180972024,24.91103202846975,1254.0,6745.000797448166,704.9464980005633,5370.0,6231.25,6397.0,7559.25,8029.0,1254.0,2581.46331738437,663.5386524883454,1586.0,1961.25,2472.0,3154.0,4164.0,1254.0,1546.811004784689,861.607622585706,221.0,954.25,1351.5,1929.75,7316.0,1254.0,998.8612440191388,485.8489101488083,187.0,651.0,909.5,1249.0,3567.0
72.0,2097.0,7453.404864091559,4365.335963920324,702.0,4122.0,6742.0,9825.0,29487.0,2097.0,2870.209823557463,1079.5396552293075,480.0,2049.0,2867.0,3616.0,6109.0,2097.0,4.11243139060818,4.0540107718012335,0.11783767859773163,1.756697408871322,2.9523088569265705,4.978287841191067,37.64087152516905,2097.0,6934.176442536957,748.7500687265835,5469.0,6255.0,6792.0,7733.0,8044.0,2097.0,2814.050071530758,737.4687959961299,1459.0,2104.0,2865.0,3481.0,4300.0,2097.0,1931.8998569384835,1129.7347284918153,236.0,1101.0,1697.0,2488.0,8565.0,2097.0,1188.3428707677635,582.1574224726825,177.0,737.0,1128.0,1538.0,3598.0
73.0,1440.0,2310.8777777777777,1389.9594092915204,605.0,1269.75,1935.0,2919.25,9830.0,1440.0,1358.825,619.027638674291,453.0,878.75,1223.5,1711.0,3921.0,1440.0,4.49140819519215,4.264756783747539,0.0,1.9487821024552658,3.4048669391609456,5.383052712437976,35.72961373390558,1440.0,2588.9284722222224,485.62464566633537,1771.0,2245.0,2409.5,2898.5,3818.0,1440.0,1349.9006944444445,523.5501153467288,595.0,899.75,1222.0,1709.25,2779.0,1440.0,1085.2902777777779,731.6701451441536,203.0,572.0,881.0,1379.25,5395.0,1440.0,734.3083333333333,412.4421741008882,177.0,423.0,635.0,925.25,2729.0
79.0,2172.0,4202.683701657458,2334.45346239342,623.0,2595.25,3769.0,5289.5,13947.0,2172.0,2217.5515653775324,888.502327831134,433.0,1614.0,2135.5,2731.0,5143.0,2172.0,4.297285153675286,3.594536004862707,0.03337783711615487,2.1009153456633816,3.308167040620158,5.291793283661423,34.73282442748092,2172.0,3093.79650092081,536.2259994225001,1824.0,2605.75,3251.0,3533.0,3900.0,2172.0,1947.1781767955802,546.0833898343383,588.0,1578.0,2005.5,2406.5,2994.0,2172.0,2227.266114180479,1423.956667387376,322.0,1289.75,1915.0,2742.75,9226.0,2172.0,1328.5699815837938,650.556294694723,223.0,869.5,1226.0,1641.0,3909.0
80.0,1061.0,3429.7954759660697,1696.8972869534796,617.0,2103.0,3273.0,4438.0,11966.0,1061.0,1832.9227144203583,689.2024250541705,401.0,1304.0,1814.0,2312.0,4497.0,1061.0,3.285993821177364,3.009586388895823,0.0,1.3619854721549636,2.323739107472934,4.259850905218317,27.682737169517885,1061.0,2977.6993402450516,532.9976822930405,1813.0,2437.0,3112.0,3463.0,3810.0,1061.0,1753.1017907634307,550.0479490304815,610.0,1301.0,1799.0,2245.0,2797.0,1061.0,1650.4910461828463,874.6700516264441,262.0,987.0,1520.0,2144.0,6499.0,1061.0,1001.1187558906691,445.9812258473018,209.0,658.0,965.0,1284.0,2996.0
81.0,2564.0,3476.21255850234,2012.920300128298,604.0,1957.0,3096.5,4582.5,12297.0,2564.0,1899.5234009360374,836.3878566433856,419.0,1259.75,1806.5,2426.0,4866.0,2564.0,4.56572618677275,3.7874539297276044,0.09739469198928659,2.031484266741134,3.486962130330287,5.842039934772468,28.90528905289053,2564.0,2930.4984399375976,567.7594137051909,1772.0,2380.0,2957.0,3477.5,3876.0,2564.0,1757.3338533541341,598.7345128382425,628.0,1259.5,1766.0,2279.75,2902.0,2564.0,1935.2363494539782,1264.2244417982288,277.0,992.0,1630.5,2531.0,9226.0,2564.0,1173.6521060842433,620.9200464854065,228.0,693.75,1051.5,1530.25,3836.0
87.0,1056.0,3117.439393939394,1591.780121911628,610.0,2016.75,2892.0,4022.0,11518.0,1056.0,1729.6732954545455,642.6726970493121,465.0,1276.0,1720.5,2138.25,4385.0,1056.0,1.2954060308652031,1.4267090083166627,0.0,0.4368072661681529,0.8894442990934809,1.6617791097028087,23.70990237099024,1056.0,3152.967803030303,560.5605783459517,2081.0,2686.75,2983.0,3698.25,4429.0,1056.0,1719.4375,546.687298851106,748.0,1278.75,1718.0,2129.0,3098.0,1056.0,1281.1477272727273,663.7353045147477,183.0,815.5,1213.0,1640.25,4508.0,1056.0,822.3977272727273,350.99883063029506,144.0,584.0,819.0,1020.5,2388.0
89.0,705.0,5210.082269503546,2311.171384678877,625.0,3774.0,4937.0,6394.0,20080.0,705.0,2455.3929078014185,755.9759685376563,486.0,1983.0,2461.0,2875.0,6139.0,705.0,2.574054784371726,2.0244837190411795,0.04485645933014354,1.3333333333333335,2.134456221867286,3.2475093802561776,24.880382775119617,705.0,3292.4609929078015,404.3719336986894,1838.0,3153.0,3444.0,3581.0,3829.0,705.0,2059.217021276596,417.45927570118204,647.0,1845.0,2180.0,2377.0,2728.0,705.0,2444.095035460993,1155.3990103240112,290.0,1702.0,2279.0,3011.0,8616.0,705.0,1334.9390070921986,505.5353181750096,229.0,1022.0,1282.0,1622.0,3698.0
